foodId,nutrientId,amount
321358,1185,17.2
321358,1257,0.018
321358,1258,2.22
321358,1003,7.35
321358,1008,229.44550669216062
321358,1079,5.4
321358,1089,2.41
321358,1090,71.1
321358,1091,166.0
321358,1093,438.0
321358,1101,1.06
321358,1106,1.0
321358,1292,6.37
321358,1293,7.48
321358,1175,0.143
321358,1004,17.1
321358,1005,14.9
321358,1051,58.7
321358,1087,41.0
321358,1092,289.0
321358,1095,1.38
321358,1109,1.74
321358,1063,0.34
321360,1051,92.5
321360,1162,27.2
321360,1004,0.63
321360,1087,11.0
321360,1089,0.33
321360,1090,11.9
321360,1101,0.121
321360,1091,28.0
321360,1092,260.0
321360,1093,6.0
321360,1095,0.2
321360,1079,2.1
321360,1109,0.98
321360,1185,4.2
321360,1175,0.06
321360,1003,0.83
321360,1005,5.51
321360,1008,27.0
321611,1051,93.6
321611,1095,0.19
321611,1087,36.0
321611,1004,0.39
321611,1005,4.11
321611,1008,21.0
321611,1091,23.0
321611,1093,282.0
321611,1101,0.176
321611,1089,0.78
321611,1003,1.04
321611,1090,12.7
321611,1092,97.0
321611,1063,1.29
323121,1004,28.0
323121,1005,2.89
323121,1008,314.0
323121,1087,15.0
323121,1092,343.0
323121,1095,2.06
323121,1051,54.6
323121,1109,0.51
323121,1175,0.13
323121,1292,12.1
323121,1293,0.954
323121,1178,0.97
323121,1257,1.59
323121,1258,11.4
323121,1003,11.7
323121,1089,1.14
323121,1090,11.5
323121,1091,128.0
323121,1093,872.0
323121,1101,0.031
323121,1106,3.0
323121,1063,1.26
323294,1292,34.2
323294,1293,14.5
323294,1087,273.0
323294,1092,684.0
323294,1095,2.8
323294,1109,19.0
323294,1004,57.8
323294,1005,16.2
323294,1175,0.075
323294,1008,620.0
323294,1051,2.2
323294,1101,2.02
323294,1089,3.17
323294,1090,258.0
323294,1091,456.0
323294,1003,20.4
323294,1257,0.032
323294,1258,4.56
323294,1106,2.0
323294,1079,11.0
323294,1093,256.0
323294,1063,4.17
323505,1106,241.0
323505,1185,390.0
323505,1003,2.92
323505,1162,93.4
323505,1008,35.37284894837476
323505,1079,4.1
